input,inputLength,LongestChainBacktrackingSolverTime,LongestChainBacktrackingSolverResult,LongestChainBacktrackingSolverResultLength,LongestChainBFSSolverTime,LongestChainBFSSolverResult,LongestChainBFSSolverResultLength
"[[6|1], [2|2], [6|2], [3|2], [0|0], [5|5], [1|0], [1|1], [6|0], [5|0], [4|2], [5|1], [3|0], [4|3], [3|3]]",15,204,[3|2][2|2][2|4][4|3][3|3][3|0][0|0][0|1][1|1][1|5][5|5][5|0][0|6][6|1],14,38,[3|3][3|0][0|5][5|5][5|1][1|1][1|0][0|0][0|6][6|2][2|2][2|4][4|3][3|2],14
"[[2|1], [5|3], [3|2], [5|1], [4|2], [6|3], [5|4], [6|0], [3|0], [4|1], [6|1], [5|0], [4|3], [1|1], [6|6], [2|0]]",16,1521,[6|6][6|3][3|2][2|4][4|5][5|1][1|6][6|0][0|5][5|3][3|0][0|2][2|1][1|1][1|4][4|3],16,409,[3|6][6|6][6|0][0|5][5|3][3|2][2|0][0|3][3|4][4|5][5|1][1|1][1|2][2|4][4|1][1|6],16
"[[2|0], [6|3], [3|1], [6|0], [4|0], [5|0], [5|1], [6|6], [6|1], [3|0], [1|0], [2|2], [5|2], [4|2], [0|0], [5|3]]",16,1777,[6|6][6|3][3|5][5|1][1|6][6|0][0|5][5|2][2|0][0|3][3|1][1|0][0|0][0|4][4|2][2|2],16,318,[6|1][1|3][3|5][5|1][1|0][0|6][6|6][6|3][3|0][0|0][0|4][4|2][2|0][0|5][5|2][2|2],16
"[[5|0], [5|2], [6|3], [4|2], [1|1], [3|3], [5|1], [4|4], [2|2], [6|0], [6|4], [5|4], [2|1], [6|2], [3|2], [4|0]]",16,1,[2|5][5|4][4|4][4|6][6|3][3|3][3|2][2|2][2|6][6|0][0|5][5|1][1|1][1|2][2|4][4|0],16,204,[2|2][2|5][5|4][4|6][6|0][0|4][4|4][4|2][2|6][6|3][3|3][3|2][2|1][1|1][1|5][5|0],16
"[[4|4], [6|4], [6|0], [1|1], [1|0], [6|1], [3|0], [2|1], [5|0], [4|3], [2|2], [4|2], [5|2], [0|0], [6|3], [5|3]]",16,970,[4|4][4|6][6|3][3|5][5|0][0|6][6|1][1|0][0|0][0|3][3|4][4|2][2|2][2|1][1|1],15,234,[4|2][2|2][2|1][1|1][1|6][6|0][0|5][5|3][3|4][4|4][4|6][6|3][3|0][0|0][0|1],15
"[[5|2], [6|0], [6|5], [4|0], [2|2], [0|0], [3|3], [5|5], [5|1], [6|6], [4|2], [6|2], [6|3], [2|0], [1|1], [3|2]]",16,667,[1|1][1|5][5|5][5|6][6|6][6|2][2|4][4|0][0|6][6|3][3|3][3|2][2|2][2|0][0|0],15,51,[1|1][1|5][5|5][5|6][6|6][6|3][3|3][3|2][2|2][2|0][0|0][0|6][6|2][2|4][4|0],15
"[[3|3], [3|2], [5|2], [6|1], [6|6], [6|0], [3|0], [4|0], [5|4], [6|5], [5|1], [0|0], [6|3], [5|5], [6|4], [3|1]]",16,2134,[1|6][6|6][6|5][5|5][5|4][4|0][0|6][6|3][3|3][3|2][2|5][5|1][1|3][3|0][0|0],15,243,[1|5][5|6][6|1][1|3][3|3][3|2][2|5][5|5][5|4][4|0][0|0][0|6][6|6][6|3][3|0],15
"[[5|0], [5|1], [3|0], [6|0], [6|2], [2|2], [1|0], [6|6], [4|4], [3|3], [5|2], [3|1], [4|1], [6|3], [4|2], [6|5]]",16,107,[3|3][3|6][6|6][6|5][5|2][2|6][6|0][0|5][5|1][1|3][3|0][0|1][1|4][4|4][4|2][2|2],16,170,[2|5][5|1][1|0][0|3][3|3][3|1][1|4][4|4][4|2][2|2][2|6][6|0][0|5][5|6][6|6][6|3],16
"[[5|5], [3|1], [3|2], [3|0], [4|4], [5|4], [0|0], [4|0], [6|4], [5|1], [6|3], [4|3], [4|1], [1|0], [6|5], [2|2]]",16,949,[2|2][2|3][3|6][6|4][4|4][4|5][5|5][5|1][1|4][4|0][0|3][3|1][1|0][0|0],14,93,[2|2][2|3][3|1][1|5][5|5][5|6][6|4][4|4][4|0][0|0][0|1][1|4][4|3][3|6],14
"[[4|1], [0|0], [6|0], [1|0], [1|1], [4|0], [2|1], [4|3], [6|5], [3|0], [5|2], [2|2], [5|3], [6|4], [6|3], [6|6]]",16,182,[5|6][6|6][6|4][4|3][3|6][6|0][0|4][4|1][1|0][0|0][0|3][3|5][5|2][2|2][2|1][1|1],16,167,[5|6][6|6][6|3][3|0][0|0][0|6][6|4][4|3][3|5][5|2][2|2][2|1][1|1][1|0][0|4][4|1],16
