input,inputLength,LongestChainBacktrackingSolverTime,LongestChainBacktrackingSolverResult,LongestChainBacktrackingSolverResultLength,LongestChainBFSSolverTime,LongestChainBFSSolverResult,LongestChainBFSSolverResultLength
"[[2|1], [5|4], [4|0], [2|0], [4|3], [6|3], [6|4]]",7,0,[5|4][4|6][6|3][3|4][4|0][0|2][2|1],7,2,[5|4][4|6][6|3][3|4][4|0][0|2][2|1],7
"[[5|5], [2|1], [2|0], [1|0], [6|2], [2|2], [6|6]]",7,2,[6|6][6|2][2|0][0|1][1|2][2|2],6,1,[6|6][6|2][2|2][2|0][0|1][1|2],6
"[[6|2], [5|2], [6|6], [4|2], [6|4], [5|4], [1|0]]",7,6,[4|6][6|6][6|2][2|5][5|4][4|2],6,1,[4|6][6|6][6|2][2|5][5|4][4|2],6
"[[5|1], [6|5], [2|2], [4|2], [3|3], [6|2], [6|6]]",7,0,[4|2][2|2][2|6][6|6][6|5][5|1],6,1,[1|5][5|6][6|6][6|2][2|2][2|4],6
"[[5|2], [3|2], [2|1], [6|5], [4|0], [6|0], [5|5]]",7,1,[4|0][0|6][6|5][5|5][5|2][2|1],6,1,[4|0][0|6][6|5][5|5][5|2][2|3],6
"[[2|1], [6|1], [3|3], [6|5], [5|4], [6|3], [4|0]]",7,1,[2|1][1|6][6|5][5|4][4|0],5,1,[2|1][1|6][6|5][5|4][4|0],5
"[[3|1], [5|2], [6|2], [5|3], [4|2], [1|0], [6|4], [3|3]]",8,0,[0|1][1|3][3|3][3|5][5|2][2|6][6|4][4|2],8,1,[0|1][1|3][3|3][3|5][5|2][2|6][6|4][4|2],8
"[[0|0], [6|6], [6|2], [5|5], [6|1], [2|1], [6|5], [6|3]]",8,2,[3|6][6|6][6|2][2|1][1|6][6|5][5|5],7,2,[3|6][6|6][6|2][2|1][1|6][6|5][5|5],7
"[[5|5], [6|1], [2|2], [3|1], [5|1], [5|3], [1|1], [6|3]]",8,3,[3|6][6|1][1|5][5|5][5|3][3|1][1|1],7,2,[1|3][3|5][5|5][5|1][1|1][1|6][6|3],7
"[[4|3], [6|0], [1|1], [6|2], [2|0], [5|2], [6|1], [6|3]]",8,2,[4|3][3|6][6|2][2|0][0|6][6|1][1|1],7,1,[4|3][3|6][6|0][0|2][2|6][6|1][1|1],7
"[[4|3], [0|0], [2|2], [6|6], [4|4], [4|2], [3|2], [3|3]]",8,1,[2|4][4|4][4|3][3|3][3|2][2|2],6,1,[2|4][4|4][4|3][3|3][3|2][2|2],6
"[[6|2], [3|1], [6|5], [2|0], [2|2], [2|1], [4|1], [6|0]]",8,6,[4|1][1|2][2|0][0|6][6|2][2|2],6,2,[3|1][1|2][2|2][2|0][0|6][6|5],6
"[[4|1], [4|4], [6|3], [6|1], [5|4], [6|0], [5|0], [1|0]]",8,4,[1|6][6|0][0|5][5|4][4|4][4|1][1|0],7,1,[3|6][6|0][0|5][5|4][4|4][4|1][1|0],7
"[[6|4], [2|2], [5|1], [1|0], [5|3], [1|1], [2|1], [5|4]]",8,1,[6|4][4|5][5|1][1|1][1|2][2|2],6,1,[6|4][4|5][5|1][1|1][1|2][2|2],6
"[[4|4], [4|1], [5|2], [6|0], [6|1], [1|1], [3|1], [2|2]]",8,0,[4|4][4|1][1|1][1|6][6|0],5,0,[0|6][6|1][1|1][1|4][4|4],5
"[[6|2], [6|4], [6|5], [4|2], [4|1], [5|5], [0|0], [5|2]]",8,1,[2|6][6|5][5|5][5|2][2|4][4|1],6,6,[1|4][4|6][6|5][5|5][5|2][2|6],6
"[[1|0], [6|3], [5|5], [6|5], [3|0], [4|0], [3|1], [6|4], [6|6]]",9,3,[5|5][5|6][6|6][6|4][4|0][0|3][3|1][1|0],8,11,[5|5][5|6][6|6][6|3][3|1][1|0][0|4][4|6],8
"[[5|2], [5|1], [6|2], [4|0], [6|0], [2|2], [4|3], [1|0], [6|3]]",9,1,[6|3][3|4][4|0][0|6][6|2][2|2][2|5][5|1][1|0],9,3,[0|1][1|5][5|2][2|2][2|6][6|0][0|4][4|3][3|6],9
"[[5|0], [6|5], [6|2], [5|3], [3|1], [6|0], [5|1], [0|0], [4|4]]",9,5,[6|5][5|3][3|1][1|5][5|0][0|0][0|6][6|2],8,1,[6|5][5|1][1|3][3|5][5|0][0|0][0|6][6|2],8
"[[4|3], [3|0], [6|2], [6|1], [2|0], [6|5], [0|0], [4|0], [1|1]]",9,1,[0|4][4|3][3|0][0|0][0|2][2|6][6|1][1|1],8,1,[0|4][4|3][3|0][0|0][0|2][2|6][6|1][1|1],8
"[[6|4], [6|3], [4|4], [6|5], [2|2], [1|0], [5|0], [1|1], [5|5]]",9,1,[1|1][1|0][0|5][5|5][5|6][6|4][4|4],7,1,[4|4][4|6][6|5][5|5][5|0][0|1][1|1],7
"[[1|0], [4|0], [4|3], [2|1], [6|3], [4|1], [2|2], [2|0], [3|2]]",9,5,[6|3][3|2][2|2][2|1][1|0][0|4][4|3],7,9,[2|2][2|3][3|4][4|1][1|2][2|0][0|1],7
"[[2|2], [6|3], [3|0], [4|2], [3|1], [4|1], [1|0], [6|2], [5|4]]",9,2,[3|6][6|2][2|2][2|4][4|1][1|0][0|3][3|1],8,1,[1|0][0|3][3|1][1|4][4|2][2|2][2|6][6|3],8
"[[4|2], [4|4], [1|0], [2|2], [4|3], [2|1], [5|0], [4|1], [6|4]]",9,2,[6|4][4|1][1|2][2|2][2|4][4|4][4|3],7,1,[6|4][4|4][4|2][2|2][2|1][1|0][0|5],7
"[[2|0], [6|5], [5|2], [6|3], [3|1], [5|5], [3|0], [4|0], [2|1]]",9,2,[2|0][0|3][3|6][6|5][5|5][5|2][2|1][1|3],8,4,[4|0][0|2][2|1][1|3][3|6][6|5][5|5][5|2],8
"[[5|0], [1|1], [4|4], [2|0], [2|2], [3|3], [3|0], [0|0], [3|1]]",9,1,[2|2][2|0][0|0][0|3][3|3][3|1][1|1],7,7,[1|1][1|3][3|3][3|0][0|0][0|2][2|2],7
"[[2|0], [5|2], [4|2], [6|6], [1|0], [6|2], [6|5], [2|1], [5|3], [5|5]]",10,12,[5|2][2|1][1|0][0|2][2|6][6|6][6|5][5|5][5|3],9,3,[5|5][5|2][2|1][1|0][0|2][2|6][6|6][6|5][5|3],9
"[[6|0], [2|2], [6|5], [5|4], [3|2], [6|4], [3|1], [4|4], [5|1], [0|0]]",10,2,[0|0][0|6][6|4][4|4][4|5][5|1][1|3][3|2][2|2],9,1,[0|0][0|6][6|4][4|4][4|5][5|1][1|3][3|2][2|2],9
"[[5|5], [2|2], [3|3], [5|0], [6|6], [4|4], [3|1], [6|5], [0|0], [5|1]]",10,1,[3|3][3|1][1|5][5|5][5|0][0|0],6,1,[6|6][6|5][5|5][5|1][1|3][3|3],6
"[[6|0], [6|6], [5|2], [2|1], [4|2], [5|0], [6|1], [4|0], [3|0], [0|0]]",10,15,[2|5][5|0][0|0][0|4][4|2][2|1][1|6][6|6][6|0][0|3],10,8,[2|5][5|0][0|4][4|2][2|1][1|6][6|6][6|0][0|0][0|3],10
"[[5|0], [4|3], [5|4], [5|1], [6|2], [6|4], [3|0], [2|1], [3|2], [1|0]]",10,5,[2|6][6|4][4|3][3|2][2|1][1|0][0|5][5|4],8,3,[0|5][5|4][4|3][3|0][0|1][1|2][2|6][6|4],8
"[[6|5], [2|2], [4|0], [6|0], [0|0], [6|1], [6|6], [4|4], [6|2], [1|0]]",10,4,[4|4][4|0][0|0][0|1][1|6][6|6][6|2][2|2],8,1,[2|2][2|6][6|6][6|0][0|0][0|1][1|6][6|5],8
"[[0|0], [3|3], [4|2], [1|0], [4|0], [2|2], [6|0], [5|5], [6|6], [5|2]]",10,2,[6|6][6|0][0|0][0|4][4|2][2|2][2|5][5|5],8,1,[6|6][6|0][0|0][0|4][4|2][2|2][2|5][5|5],8
"[[2|1], [4|0], [2|2], [5|3], [3|1], [6|3], [4|2], [6|1], [5|1], [4|3]]",10,8,[4|3][3|6][6|1][1|5][5|3][3|1][1|2][2|2][2|4][4|0],10,7,[4|2][2|2][2|1][1|5][5|3][3|1][1|6][6|3][3|4][4|0],10
"[[5|4], [5|2], [1|0], [6|4], [6|5], [6|2], [4|1], [6|6], [5|3], [3|1]]",10,8,[6|6][6|5][5|4][4|6][6|2][2|5][5|3][3|1][1|0],9,3,[0|1][1|3][3|5][5|4][4|6][6|6][6|5][5|2][2|6],9
"[[3|2], [4|4], [5|2], [6|1], [4|2], [5|3], [3|0], [5|0], [6|3], [2|1]]",10,3,[4|4][4|2][2|1][1|6][6|3][3|0][0|5][5|2][2|3][3|5],10,2,[4|4][4|2][2|3][3|0][0|5][5|2][2|1][1|6][6|3][3|5],10
"[[6|2], [4|2], [5|2], [2|2], [4|3], [1|0], [6|5], [6|0], [6|1], [3|3], [1|1]]",11,1,[3|3][3|4][4|2][2|6][6|1][1|1][1|0][0|6][6|5][5|2][2|2],11,3,[2|6][6|0][0|1][1|1][1|6][6|5][5|2][2|2][2|4][4|3][3|3],11
"[[5|2], [3|2], [5|0], [6|0], [5|3], [4|0], [4|3], [6|6], [2|2], [2|0], [4|4]]",11,11,[6|6][6|0][0|5][5|2][2|0][0|4][4|4][4|3][3|2][2|2],10,4,[6|6][6|0][0|4][4|4][4|3][3|5][5|0][0|2][2|2][2|5],10
"[[3|2], [3|0], [4|2], [5|5], [6|6], [2|0], [1|1], [5|1], [6|3], [4|4], [4|1]]",11,2,[6|6][6|3][3|0][0|2][2|4][4|4][4|1][1|1][1|5][5|5],10,2,[5|5][5|1][1|1][1|4][4|4][4|2][2|0][0|3][3|6][6|6],10
"[[5|1], [3|1], [2|0], [6|6], [1|1], [2|1], [1|0], [6|1], [4|0], [4|1], [5|0]]",11,17,[3|1][1|0][0|2][2|1][1|1][1|4][4|0][0|5][5|1][1|6][6|6],11,7,[6|6][6|1][1|2][2|0][0|1][1|1][1|4][4|0][0|5][5|1][1|3],11
"[[4|3], [6|1], [6|3], [4|2], [6|6], [5|2], [3|2], [1|0], [5|5], [3|1], [5|0]]",11,2,[1|6][6|6][6|3][3|4][4|2][2|3][3|1][1|0][0|5][5|5][5|2],11,4,[2|3][3|4][4|2][2|5][5|5][5|0][0|1][1|6][6|6][6|3][3|1],11
"[[6|0], [6|2], [5|0], [1|1], [6|1], [2|0], [6|4], [6|6], [3|2], [2|2], [4|4]]",11,6,[1|1][1|6][6|6][6|2][2|2][2|0][0|6][6|4][4|4],9,4,[4|4][4|6][6|2][2|2][2|0][0|6][6|6][6|1][1|1],9
"[[5|4], [3|1], [3|0], [2|1], [2|2], [1|1], [5|1], [6|6], [4|1], [4|0], [6|3]]",11,8,[4|0][0|3][3|1][1|1][1|5][5|4][4|1][1|2][2|2],9,1,[6|6][6|3][3|1][1|1][1|4][4|5][5|1][1|2][2|2],9
"[[3|2], [0|0], [3|3], [6|2], [1|1], [6|6], [4|3], [4|2], [4|1], [5|3], [6|4]]",11,3,[2|6][6|6][6|4][4|3][3|3][3|2][2|4][4|1][1|1],9,1,[5|3][3|3][3|4][4|2][2|6][6|6][6|4][4|1][1|1],9
"[[5|0], [6|2], [6|1], [5|1], [6|3], [4|0], [6|6], [5|3], [3|0], [4|3], [1|1]]",11,7,[6|6][6|3][3|4][4|0][0|3][3|5][5|1][1|1][1|6][6|2],10,3,[6|1][1|1][1|5][5|3][3|4][4|0][0|3][3|6][6|6][6|2],10
"[[1|0], [4|4], [3|2], [2|0], [4|0], [2|2], [6|2], [5|5], [3|1], [6|1], [5|1]]",11,3,[5|5][5|1][1|3][3|2][2|2][2|6][6|1][1|0][0|4][4|4],10,1,[5|5][5|1][1|3][3|2][2|2][2|6][6|1][1|0][0|4][4|4],10
"[[2|1], [6|3], [4|1], [5|0], [3|3], [3|0], [6|0], [5|5], [2|2], [0|0], [6|5], [3|2]]",12,12,[4|1][1|2][2|2][2|3][3|0][0|0][0|5][5|5][5|6][6|3][3|3],11,5,[4|1][1|2][2|2][2|3][3|3][3|0][0|5][5|5][5|6][6|0][0|0],11
"[[2|1], [5|5], [4|4], [6|2], [4|0], [5|3], [0|0], [5|4], [4|1], [1|1], [5|0], [4|2]]",12,14,[6|2][2|1][1|1][1|4][4|0][0|0][0|5][5|5][5|4][4|4][4|2],11,5,[6|2][2|4][4|5][5|5][5|0][0|0][0|4][4|4][4|1][1|1][1|2],11
"[[2|0], [6|1], [5|4], [5|0], [2|1], [6|4], [6|0], [5|3], [4|4], [1|1], [3|2], [4|1]]",12,47,[4|6][6|0][0|5][5|4][4|4][4|1][1|1][1|2][2|3][3|5],10,7,[2|0][0|5][5|3][3|2][2|1][1|1][1|4][4|4][4|6][6|1],10
"[[4|4], [5|2], [3|3], [2|1], [4|3], [6|5], [6|4], [4|0], [6|0], [4|2], [1|0], [6|3]]",12,0,[2|5][5|6][6|4][4|4][4|3][3|3][3|6][6|0][0|4][4|2][2|1][1|0],12,6,[2|5][5|6][6|4][4|3][3|3][3|6][6|0][0|4][4|4][4|2][2|1][1|0],12
"[[6|1], [5|5], [3|1], [6|0], [2|2], [6|2], [1|0], [5|2], [6|5], [4|3], [4|4], [5|0]]",12,9,[4|4][4|3][3|1][1|0][0|6][6|5][5|5][5|2][2|2][2|6][6|1],11,2,[5|5][5|2][2|2][2|6][6|0][0|5][5|6][6|1][1|3][3|4][4|4],11
"[[6|2], [0|0], [5|4], [6|3], [4|0], [4|2], [3|1], [4|4], [5|2], [2|0], [3|2], [3|3]]",12,27,[3|3][3|6][6|2][2|5][5|4][4|4][4|0][0|0][0|2][2|3][3|1],11,3,[3|6][6|2][2|5][5|4][4|4][4|0][0|0][0|2][2|3][3|3][3|1],11
"[[5|4], [0|0], [6|2], [6|6], [4|3], [3|3], [1|0], [4|2], [3|0], [6|0], [5|1], [3|2]]",12,22,[4|3][3|3][3|0][0|0][0|1][1|5][5|4][4|2][2|6][6|6][6|0],11,5,[2|3][3|3][3|0][0|6][6|6][6|2][2|4][4|5][5|1][1|0][0|0],11
"[[4|4], [6|0], [3|2], [5|3], [5|5], [2|1], [2|2], [4|1], [4|0], [6|6], [3|3], [5|0]]",12,3,[6|6][6|0][0|5][5|5][5|3][3|3][3|2][2|2][2|1][1|4][4|4][4|0],12,3,[6|6][6|0][0|4][4|4][4|1][1|2][2|2][2|3][3|3][3|5][5|5][5|0],12
"[[6|6], [2|0], [5|5], [5|2], [4|4], [3|0], [3|3], [5|1], [1|1], [5|0], [1|0], [5|3]]",12,22,[5|1][1|1][1|0][0|2][2|5][5|0][0|3][3|3][3|5][5|5],10,3,[0|2][2|5][5|5][5|1][1|1][1|0][0|5][5|3][3|3][3|0],10
"[[1|1], [6|4], [1|0], [4|3], [5|5], [4|4], [6|1], [3|1], [6|6], [6|3], [3|3], [4|2]]",12,40,[1|6][6|6][6|4][4|4][4|3][3|3][3|1][1|1][1|0],9,3,[2|4][4|4][4|3][3|3][3|1][1|1][1|6][6|6][6|4],9
"[[6|1], [1|1], [2|0], [5|5], [6|2], [2|2], [3|3], [3|1], [4|0], [4|2], [0|0], [6|5], [6|3]]",13,11,[2|2][2|4][4|0][0|0][0|2][2|6][6|3][3|3][3|1][1|1][1|6][6|5][5|5],13,7,[2|0][0|0][0|4][4|2][2|2][2|6][6|1][1|1][1|3][3|3][3|6][6|5][5|5],13
"[[4|2], [5|5], [6|2], [6|1], [6|5], [0|0], [6|6], [5|2], [4|1], [1|1], [1|0], [5|4], [5|1]]",13,109,[4|5][5|5][5|6][6|6][6|1][1|5][5|2][2|4][4|1][1|1][1|0][0|0],12,10,[0|0][0|1][1|6][6|6][6|5][5|5][5|1][1|1][1|4][4|5][5|2][2|4],12
"[[3|1], [1|0], [4|3], [6|2], [2|0], [3|0], [2|1], [4|4], [6|4], [1|1], [0|0], [6|5], [4|2]]",13,48,[4|4][4|6][6|2][2|4][4|3][3|1][1|0][0|0][0|2][2|1][1|1],11,11,[5|6][6|2][2|1][1|1][1|0][0|3][3|4][4|4][4|2][2|0][0|0],11
"[[4|0], [4|3], [5|0], [5|3], [5|2], [6|6], [4|4], [1|1], [6|3], [3|3], [3|0], [1|0], [2|0]]",13,79,[6|6][6|3][3|0][0|2][2|5][5|3][3|3][3|4][4|4][4|0][0|1][1|1],12,6,[1|1][1|0][0|2][2|5][5|3][3|0][0|4][4|4][4|3][3|3][3|6][6|6],12
"[[6|5], [4|1], [6|4], [3|1], [6|1], [5|1], [3|2], [6|2], [2|1], [5|5], [4|2], [3|3], [3|0]]",13,100,[4|6][6|5][5|5][5|1][1|6][6|2][2|4][4|1][1|3][3|3][3|2][2|1],12,12,[3|2][2|1][1|6][6|4][4|2][2|6][6|5][5|5][5|1][1|3][3|3][3|0],12
"[[6|3], [0|0], [2|1], [6|2], [5|0], [1|0], [3|1], [6|1], [5|2], [4|0], [4|4], [6|6], [4|3]]",13,40,[2|6][6|6][6|1][1|3][3|4][4|4][4|0][0|5][5|2][2|1][1|0][0|0],12,13,[0|0][0|1][1|3][3|6][6|6][6|1][1|2][2|5][5|0][0|4][4|4][4|3],12
"[[4|2], [0|0], [2|0], [5|4], [5|1], [2|2], [4|3], [6|0], [6|2], [3|0], [6|1], [3|1], [3|3]]",13,36,[4|5][5|1][1|6][6|0][0|3][3|3][3|4][4|2][2|2][2|0][0|0],11,13,[3|3][3|1][1|5][5|4][4|3][3|0][0|0][0|6][6|2][2|2][2|4],11
"[[3|1], [4|2], [2|0], [6|0], [2|2], [4|0], [6|1], [5|1], [6|6], [6|4], [6|2], [6|5], [5|5]]",13,58,[3|1][1|5][5|5][5|6][6|0][0|2][2|2][2|4][4|6][6|6][6|1],11,11,[3|1][1|5][5|5][5|6][6|6][6|4][4|2][2|2][2|0][0|6][6|1],11
"[[2|2], [4|3], [5|4], [0|0], [5|1], [2|1], [4|0], [1|0], [5|3], [6|0], [1|1], [6|2], [4|1]]",13,1,[5|4][4|3][3|5][5|1][1|4][4|0][0|6][6|2][2|2][2|1][1|1][1|0][0|0],13,12,[0|4][4|1][1|1][1|0][0|0][0|6][6|2][2|2][2|1][1|5][5|3][3|4][4|5],13
"[[4|4], [5|4], [1|1], [5|0], [5|1], [6|0], [2|2], [4|3], [6|3], [5|2], [4|0], [6|6], [4|1]]",13,5,[2|2][2|5][5|4][4|4][4|3][3|6][6|6][6|0][0|5][5|1][1|1][1|4][4|0],13,6,[2|2][2|5][5|4][4|4][4|3][3|6][6|6][6|0][0|4][4|1][1|1][1|5][5|0],13
"[[2|2], [5|3], [6|0], [6|3], [0|0], [4|3], [4|1], [5|0], [3|1], [5|2], [4|4], [2|0], [3|0], [3|3]]",14,16,[5|2][2|2][2|0][0|6][6|3][3|0][0|0][0|5][5|3][3|1][1|4][4|4][4|3][3|3],14,23,[3|0][0|0][0|2][2|2][2|5][5|3][3|3][3|1][1|4][4|4][4|3][3|6][6|0][0|5],14
"[[3|2], [3|1], [4|3], [6|5], [4|0], [6|1], [2|0], [4|1], [5|5], [5|3], [2|2], [3|0], [6|4], [5|0]]",14,166,[6|4][4|1][1|6][6|5][5|5][5|0][0|4][4|3][3|2][2|2][2|0][0|3][3|1],13,47,[6|4][4|0][0|2][2|2][2|3][3|1][1|6][6|5][5|5][5|0][0|3][3|4][4|1],13
"[[3|1], [6|1], [5|3], [5|5], [4|0], [3|2], [6|5], [6|3], [2|2], [6|4], [3|0], [2|0], [6|0], [3|3]]",14,196,[3|1][1|6][6|3][3|2][2|2][2|0][0|6][6|5][5|5][5|3][3|3][3|0][0|4][4|6],14,42,[6|4][4|0][0|3][3|6][6|0][0|2][2|2][2|3][3|3][3|1][1|6][6|5][5|5][5|3],14
"[[6|2], [5|4], [5|2], [4|3], [2|2], [4|0], [4|2], [6|0], [0|0], [4|4], [1|1], [6|1], [6|4], [6|6]]",14,121,[2|6][6|6][6|4][4|4][4|5][5|2][2|2][2|4][4|0][0|0][0|6][6|1][1|1],13,9,[1|1][1|6][6|6][6|4][4|4][4|2][2|2][2|6][6|0][0|0][0|4][4|5][5|2],13
